,Rate
AED,4.130442
AFN,114.704662
ALL,121.73238
AMD,542.910173
ANG,2.018908
AOA,594.990473
ARS,118.103016
AUD,1.590294
AWG,2.02419
AZN,1.887895
BAM,1.971318
BBD,2.270941
BDT,96.700515
BGN,1.960234
BHD,0.423881
BIF,2215.363716
BMD,1.12455
BND,1.523864
BOB,7.754983
BRL,5.968553
BSD,1.124706
BTC,2.9201891
BTN,84.018201
BWP,13.139211
BYN,2.92498
BYR,22041.18215
BZD,2.267213
CAD,1.428289
CDF,2262.594493
CHF,1.040878
CLF,0.032634
CLP,900.461335
CNY,7.153268
COP,4434.123573
CRC,721.469027
CUC,1.12455
CUP,29.800578
CVE,111.189868
CZK,24.333354
DJF,199.855239
DKK,7.442003
DOP,64.942993
DZD,157.799121
EGP,17.662072
ERN,16.868274
ETB,55.946676
FJD,2.430709
FKP,0.818583
GBP,0.835614
GEL,3.424287
GGP,0.818582
GHS,7.073433
GIP,0.818582
GMD,59.600892
GNF,10123.727743
GTQ,8.646734
GYD,235.308254
HKD,8.768179
HNL,27.641516
HRK,7.528528
HTG,114.716216
HUF,355.425333
IDR,16133.245693
ILS,3.575338
IMP,0.818582
INR,83.853649
IQD,1642.405435
IRR,47512.242237
ISK,143.425352
JEP,0.818583
JMD,175.83048
JOD,0.797324
JPY,129.372759
KES,127.749197
KGS,95.358927
KHR,4571.861852
KMF,493.958116
KPW,1012.095275
KRW,1355.914874
KWD,0.340762
KYD,0.937306
KZT,488.941404
LAK,12758.020722
LBP,1702.568586
LKR,228.321543
LRD,171.465804
LSL,17.452938
LTL,3.320504
LVL,0.68023
LYD,5.189803
MAD,10.611214
MDL,20.245863
MGA,4498.200493
MKD,62.118035
MMK,1999.736984
MNT,3214.898899
MOP,9.034197
MRO,401.464196
MUR,49.133101
MVR,17.374171
MWK,919.316063
MXN,23.169702
MYR,4.706802
MZN,71.779825
NAD,17.452733
NGN,467.621992
NIO,39.876633
NOK,9.993541
NPR,134.423939
NZD,1.707635
OMR,0.432965
PAB,1.124807
PEN,4.318546
PGK,3.946795
PHP,57.57024
PKR,198.85422
PLN,4.584564
PYG,7972.897854
QAR,4.094461
RON,4.945319
RSD,117.622372
RUB,87.011954
RWF,1141.418361
SAR,4.219313
SBD,9.072683
SCR,16.333493
SDG,495.926301
SEK,10.4746
SGD,1.519273
SHP,1.548954
SLL,12890.151897
SOS,657.861468
SRD,23.480048
STD,23275.916813
SVC,9.842327
SYP,2824.869623
SZL,17.323482
THB,37.368807
TJS,12.704312
TMT,3.935925
TND,3.2679
TOP,2.550424
TRY,14.959105
TTD,7.63434
TWD,31.243935
TZS,2598.834868
UAH,31.958182
UGX,3944.590966
USD,1.12455
UYU,49.427451
UZS,12167.632068
VEF,240462799981.41437
VND,25471.059984
VUV,127.829201
WST,2.937711
XAF,661.106943
XAG,0.050055
XAU,0.000626
XCD,3.039153
XDR,0.8087
XOF,661.235739
XPF,120.24252
YER,281.418459
ZAR,17.267186
ZMK,10122.302101
ZMW,20.358347
ZWL,362.104676
